de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2016;-5.77;-8.87;-3.02;3.91;2.7;1.44;93.97
02.01.2016;-5.79;-8.93;-3.01;3.92;2.75;1.52;94.15
03.01.2016;-5.95;-9.23;-3.11;3.92;2.76;1.62;93.6
04.01.2016;-6.43;-9.68;-3.55;3.88;2.72;1.39;94.01
05.01.2016;-6.93;-10.24;-3.91;3.74;2.63;1.59;94.15
06.01.2016;-7.29;-10.68;-4.22;3.66;2.99;1.15;93.56
07.01.2016;-7.55;-10.88;-4.54;3.65;3.18;1.3;93.52
08.01.2016;-7.87;-11.19;-4.75;3.62;3.15;1.32;93.93
09.01.2016;-8.09;-11.46;-4.92;3.63;3.2;1.4;94.22
10.01.2016;-8.44;-11.94;-5.18;3.65;3.21;1.49;93.78
11.01.2016;-9.08;-12.55;-5.76;3.64;3.19;1.26;94.3
12.01.2016;-9.73;-13.24;-6.24;3.54;3.1;1.44;94.55
13.01.2016;-10.2;-13.8;-6.65;3.49;3.47;1.0;94.07
14.01.2016;-10.54;-14.07;-7.04;3.52;3.69;1.14;94.12
15.01.2016;-10.91;-14.43;-7.29;3.53;3.67;1.15;94.61
16.01.2016;-11.14;-14.7;-7.47;3.59;3.75;1.22;94.96
17.01.2016;-11.47;-15.15;-7.71;3.65;3.79;1.31;94.57
18.01.2016;-12.05;-15.69;-8.23;3.69;3.8;1.07;95.11
19.01.2016;-12.59;-16.27;-8.62;3.63;3.75;1.25;95.36
20.01.2016;-12.93;-16.68;-8.91;3.62;4.16;0.81;94.85
21.01.2016;-13.09;-16.78;-9.15;3.69;4.42;0.95;94.85
22.01.2016;-13.25;-16.92;-9.22;3.74;4.45;0.97;95.27
23.01.2016;-13.25;-16.95;-9.19;3.84;4.57;1.05;95.53
24.01.2016;-13.31;-17.14;-9.2;3.94;4.65;1.15;95.02
25.01.2016;-13.61;-17.39;-9.47;4.0;4.7;0.92;95.44
26.01.2016;-13.84;-17.66;-9.6;3.97;4.69;1.12;95.55
27.01.2016;-13.87;-17.75;-9.62;3.98;5.14;0.69;94.9
28.01.2016;-13.71;-17.51;-9.58;4.06;5.43;0.85;94.75
29.01.2016;-13.54;-17.32;-9.37;4.11;5.48;0.89;95.02
30.01.2016;-13.21;-17.02;-9.05;4.21;5.62;0.99;95.13
31.01.2016;-12.95;-16.87;-8.79;4.3;5.72;1.11;94.48
01.02.2016;-12.94;-16.8;-8.8;4.35;5.77;0.89;94.77
