de-date,tavg,tmin,tmax,wind,globrad,precip,relhumid
01.01.2011,-6.82,-8.2,-5.45,3.8,2.2,2.78,97.94
02.01.2011,-4.67,-5.85,-3.02,5.48,2.43,0.81,95.94
03.01.2011,-8.42,-13.24,-5.63,2.41,3.33,0.23,96.19
04.01.2011,-11.02,-13.81,-9.68,4.04,2.99,3.2,97.75
05.01.2011,-13.1,-14.6,-10.6,3.73,4.06,0.75,98.5
06.01.2011,-13.7,-16.18,-10.77,2.19,3.48,0.08,99.19
07.01.2011,-17.63,-22.03,-13.98,3.41,4.61,0.14,98.88
08.01.2011,-8.77,-15.11,-6.0,3.0,2.55,0.28,98.06
09.01.2011,-7.9,-9.38,-6.74,3.88,1.98,0.22,94.75
10.01.2011,-9.88,-12.31,-8.03,4.58,3.2,0.54,96.38
11.01.2011,-8.15,-9.72,-5.76,3.46,2.29,4.21,98.06
12.01.2011,-8.84,-10.45,-5.47,3.52,3.02,0.7,98.5
13.01.2011,-7.58,-9.36,-6.06,4.46,2.68,5.85,98.75
14.01.2011,-5.38,-7.89,-1.85,1.68,2.88,1.45,98.06
15.01.2011,-11.13,-15.82,-8.2,1.73,3.48,1.46,93.38
16.01.2011,-10.94,-15.52,-7.48,2.34,3.91,0.64,95.62
17.01.2011,-16.58,-19.15,-13.27,1.67,5.13,0.15,98.25
18.01.2011,-16.78,-18.99,-11.91,1.41,4.74,0.16,98.31
19.01.2011,-14.17,-17.58,-10.36,2.08,5.55,0.25,99.56
20.01.2011,-12.52,-13.35,-10.52,3.51,5.78,3.25,97.31
21.01.2011,-10.27,-12.95,-7.63,3.52,4.64,3.3,96.25
22.01.2011,-9.74,-11.31,-7.88,3.86,4.27,6.62,97.5
23.01.2011,-10.13,-12.09,-6.91,1.81,4.87,0.23,98.75
24.01.2011,-12.67,-15.14,-9.74,2.91,5.33,0.45,99.06
25.01.2011,-13.95,-18.95,-8.38,1.65,4.46,0.13,99.38
26.01.2011,-17.13,-19.49,-11.83,1.57,5.5,1.11,98.81
27.01.2011,-12.63,-18.6,-8.62,3.48,4.16,0.53,96.88
28.01.2011,-12.38,-18.21,-7.54,2.35,4.32,0.38,95.75
29.01.2011,-9.57,-15.26,-6.52,5.03,6.04,0.17,95.62
30.01.2011,-11.2,-15.16,-7.61,6.23,4.54,0.22,96.94
31.01.2011,-8.42,-17.19,-3.49,3.52,5.61,0.35,94.62
01.02.2011,-11.35,-18.42,-6.29,2.49,5.28,0.36,96.81
02.02.2011,-8.93,-12.08,-4.61,1.73,5.04,0.39,96.81
03.02.2011,-5.66,-7.45,-2.99,3.97,4.86,1.45,96.62
04.02.2011,-4.78,-8.55,-3.28,4.45,5.76,1.91,96.0
05.02.2011,-3.1,-4.39,-1.21,4.46,5.05,3.63,97.25
06.02.2011,-0.52,-4.3,0.69,7.72,6.2,3.64,92.81
07.02.2011,-5.99,-9.01,-4.0,4.73,3.17,0.09,95.31
08.02.2011,-3.35,-7.16,0.58,4.83,5.16,0.65,95.06
09.02.2011,-0.85,-3.01,0.62,8.78,6.21,2.39,90.88
10.02.2011,-8.06,-13.79,-3.35,6.05,7.4,0.54,91.25
11.02.2011,-13.68,-16.74,-10.63,2.27,9.0,0.16,92.56
12.02.2011,-10.23,-12.67,-6.58,4.29,7.87,4.28,98.62
13.02.2011,-14.16,-15.49,-13.21,8.6,8.9,3.38,93.69
14.02.2011,-13.53,-15.67,-11.45,6.66,9.49,2.23,93.75
15.02.2011,-20.15,-26.43,-14.74,4.46,10.88,0.07,95.19
16.02.2011,-19.92,-27.2,-14.69,3.45,10.92,0.13,96.06
17.02.2011,-19.29,-24.93,-14.24,2.59,11.35,0.09,95.88
18.02.2011,-23.5,-29.38,-15.87,1.45,11.25,0.02,96.5
19.02.2011,-21.25,-23.92,-16.93,1.13,11.83,0.08,96.19
20.02.2011,-21.41,-27.27,-14.41,1.92,12.03,0.04,97.62
