DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170101,-5433.149911837333,-19.13391982082897,-14.187990766232584,0.06942525008218321,1.3723448609000315,-4.935851305750892
20170102,-5348.077662875998,-19.46194371488349,-13.945945540383637,0.041166416297238724,1.4153592754703566,-4.341631958830512
20170103,-5652.475334521728,-20.031419152154022,-14.622431453948911,0.02311666936202493,1.2218191826888283,-4.0130992300893
20170104,-5374.276792291238,-20.59948346246941,-14.90451537074043,-0.04050630137893214,1.2252664522005021,-4.594579375807158
20170105,-5850.617740165365,-20.341387161060062,-15.452939386957368,-0.0028054065866328294,1.2179709225526358,-3.9576405277237447
20170106,-5359.424848295755,-20.969039804480985,-15.52854384192812,0.02896262322715442,1.0619211278596707,-3.9382020818082353
20170107,-5429.948901709818,-20.818649704889605,-16.038025395639742,0.00891616774572203,1.2702280204032137,-4.106806248865331
20170108,-5248.398754766372,-21.3606896488382,-15.025194245184231,-0.011644168497783696,1.2784137535600615,-3.309573755295657
20170109,-5011.840597232227,-21.56990219142158,-16.332374841880707,-0.01452383545325667,1.3034658351101094,-3.913631892375865
20170110,-5580.152767166196,-22.037243231216895,-16.691610765174925,-0.011027762974431973,1.063098906655865,-3.3848377936293974
20170111,-4821.546845485814,-21.88563505044861,-16.198883021644455,-0.05303094580448939,1.2454040939736075,-4.080263168797798
20170112,-5200.376757535865,-22.345470787362643,-16.629653830906552,-0.07257919671413687,1.2744648329054031,-3.7666999021281415
20170113,-4846.028375358861,-21.509929181272128,-16.430509884827003,-0.0517347897242911,1.316597853924947,-3.3700797615019207
20170114,-4932.034880029512,-21.933517565310485,-16.840503362464684,-0.043527457841530566,1.2906371758446114,-3.737635206804123
20170115,-5380.219065017912,-23.246607109652448,-16.56176509730351,-0.03488627365206504,1.4100621162998586,-3.2182479039682232
20170116,-4945.078992757497,-23.038641288240058,-17.280481203024397,-0.061854194620585716,1.4743640905554922,-3.52226901821447
20170117,-4907.1035077795705,-24.12923360652999,-18.720409965903094,-0.07021860730070235,1.2605069786650065,-4.055461468617645
20170118,-4760.196663372081,-24.60477794980441,-17.96031523940995,-0.08386502496054077,1.1652927127568655,-3.5602520270828504
20170119,-4646.501710616231,-24.2888814743512,-18.164846948316523,-0.06062424570116552,1.3735494804133486,-3.676279760218138
20170120,-4129.236088194831,-23.798540786610804,-17.99426530986512,-0.0647509471930504,1.5759330139491372,-3.76742528020825
20170121,-3877.301620296962,-24.60172388678009,-17.84011643009873,-0.028266387928629785,1.5480514485933206,-3.995673958967892
20170122,-4446.799436000066,-24.176175672715758,-18.28694676519928,-0.019767675261233013,1.6034169618529757,-3.676915777772903
20170123,-4143.15037151242,-24.24779058437385,-18.835061381069806,-0.04559147525238024,1.742843257098816,-3.794622970321881
20170124,-4041.814067754609,-24.557542020310375,-18.259598294590553,-0.058482970787209085,1.6703952235094828,-3.7680883249677453
20170125,-4254.495906824374,-24.883257214994558,-17.944918758042093,-0.06849920925666148,1.6166896858186894,-4.446248610153445
20170126,-3812.154425482957,-23.564427743978023,-18.957598650855097,-0.056938994506802613,1.6676724761548636,-3.670923843003858
20170127,-3403.6411859134364,-24.222236936932045,-18.305849870447137,-0.03366328991554188,1.7645808728103756,-4.458232050604693
20170128,-3782.4530454215187,-24.782601820740343,-17.915754556735557,-0.03718780870744869,1.872140961894436,-4.248112345631719
20170129,-2779.0549834319636,-24.59259566031099,-18.224540608779844,-0.022505414316672873,2.0165673628705387,-3.885937366743727
20170130,-2342.1836279917197,-23.897247918041696,-18.085865426498863,-0.00979644572103461,2.0862391755508045,-4.985774691471494
20170131,-2852.989508301757,-24.523600281684782,-18.391600011322552,-0.019868798899926175,1.8522592661119839,-4.486208441972289
20170201,-2199.2513837755428,-23.831775723966317,-17.74983733594691,-0.04529174167519476,2.122478250421912,-4.8028814925448025
20170202,-2394.6890550026696,-24.069609401799596,-17.594109360611785,-0.017604543039453403,1.7427775666223713,-4.549056034655316
20170203,-2155.29512759757,-23.519553139792944,-17.47761774443584,-0.025246619815098438,1.7528210796430777,-4.399958429933236
20170204,-1826.443339698667,-23.05213331952087,-17.28917369874806,0.006629146785489997,2.194129732347554,-4.547658826704143
20170205,-1980.9735586833162,-23.230818223883617,-17.19094114804604,0.006319832495889322,1.9538561641495444,-5.0743992380900425
20170206,-1550.3934950008697,-23.153154727424237,-17.147304441941184,0.0073300956911422485,1.7967832483051889,-4.551331906839487
20170207,-1912.9175941374426,-22.777261297448263,-17.00156661853763,-0.011421327242304886,1.866983059578141,-5.065636873714583
20170208,-1169.704460188402,-22.964563241658283,-16.893609914247765,0.03563123052316379,1.8255185262789044,-5.374243544204085
20170209,-1421.5901168265648,-22.101001739962243,-16.32151939593312,0.002536890636251193,1.6996582345551758,-4.554827981837788
20170210,-1357.5706387440105,-22.260808848578858,-16.586058287579515,0.03404025218397681,2.020054354508231,-4.792579066924295
20170211,-1502.430541838805,-21.40410582865468,-16.717100780701227,-0.02559410773780255,1.7598439987111518,-5.054893978304365
20170212,-886.7983656449951,-21.69124761372995,-15.335163236883488,-0.022280209537959082,1.7163513637888466,-4.205648365519942
20170213,-1406.9973555190857,-22.11934854625492,-15.645779960734224,-0.019389451956884105,1.7968424449717404,-5.027876546497348
20170214,-808.8352624413361,-22.589613008799116,-15.611174738239567,0.042291386887567096,1.4098079976035767,-4.561705434482523
20170215,-786.2979792428836,-21.05566060189655,-14.836051792964367,-0.02745219880865501,1.4262095932193875,-4.719764797918559
20170216,-742.797193929235,-21.808164462600857,-14.552162613648369,0.01180389682946786,1.376150148973367,-4.808267953398202
20170217,-1097.1913872808902,-20.966727507266043,-14.604919403133763,-0.009165624160292814,1.3776433987529706,-4.910898606469348
20170218,-760.8963599699789,-20.119127562422193,-13.835731524817632,0.04516502875734272,1.237777975793632,-4.22175748450784
20170219,-407.33501775400555,-20.924476938240637,-13.854385220679456,0.06670712843923943,1.4394228573423393,-4.818179710663682
20170220,-579.0916835530041,-20.25210959602235,-13.830900368594408,0.03838747517809178,1.3482789014765841,-4.640071195263681
20170221,-235.8003213804497,-19.496723573041525,-13.832176599098004,0.06820065137449735,1.1759931300620925,-4.693826382175995
20170222,-151.46125565010217,-19.560546408380137,-14.130862488607677,0.05603883213113551,0.9371746461052244,-5.138100567005438
20170223,-55.44836449500111,-18.89702457408258,-13.612599711493228,0.039283715035309634,0.9174609070711934,-5.333806407505511
20170224,-319.71780695755075,-19.315130860567173,-13.208865590853874,0.05029851964631301,0.9941576973636055,-5.057181407582622
