DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20100101,4280.0,-15.45,-8.7,0.2194219735894105,3.61,0.66,
20100102,3140.0,-15.41,-9.38,0.2315358815249691,6.02,13.43,
20100103,4750.0,-21.55,-10.85,0.1707448386056358,4.59,0.71,
20100104,4990.0,-24.32,-15.2,0.115016490828627,1.73,0.04,
20100105,4660.0,-27.7,-19.17,0.096388103230807,1.61,0.05,
20100106,4480.0,-21.33,-9.2,0.1923657780144284,3.41,0.25,
20100107,2970.0,-12.4,-6.69,0.2691564036065618,6.79,8.78,
20100108,3250.0,-6.81,-0.82,0.4085531826793352,1.83,0.96,
20100109,1030.0,-6.74,-2.56,0.4247079762658597,3.55,8.53,
20100110,1700.0,-6.24,-4.58,0.375840705015768,6.87,1.7999999999999998,
20100111,880.0,-10.74,-6.62,0.2812102095468839,6.62,2.31,
20100112,2040.0,-11.28,-8.52,0.2625669138580504,5.11,1.75,
20100113,3930.0,-11.05,-6.87,0.283677769766238,2.95,1.02,
20100114,2000.0,-17.42,-9.9,0.20873119358481,3.98,0.08,
20100115,2880.0,-17.77,-10.29,0.1906199577865436,4.38,0.28,
20100116,4139.999999999999,-18.28,-12.92,0.1662143476220634,4.75,0.2099999999999999,
20100117,6090.0,-24.84,-18.1,0.105613827312769,3.7,0.06,
20100118,6430.0,-25.13,-17.21,0.098208255292678,5.1,0.03,
20100119,5000.0,-26.01,-16.92,0.1039467172411323,5.48,0.03,
20100120,6260.0,-23.04,-17.28,0.1167393764005377,6.13,0.05,
20100121,6160.0,-26.3,-17.68,0.0984707735192496,6.18,0.01,
20100122,6720.0,-27.02,-18.17,0.0913529230448467,4.82,0.04,
20100123,6850.0,-33.27,-22.73,0.0670151576292067,3.46,0.02,
20100124,7020.0,-34.43,-22.27,0.0500304480985852,2.59,0.0,
20100125,6730.0,-34.89,-18.78,0.0666437736431627,2.01,0.02,
20100126,6770.0,-23.78,-14.69,0.1223662271750575,1.1,0.08,
20100127,6860.0,-22.13,-15.08,0.1311484037148708,1.7,0.1,
20100128,7000.0,-20.58,-13.61,0.1450074991563802,3.62,0.39,
20100129,5600.0,-20.17,-13.25,0.1694596342020227,4.82,4.36,
20100130,6540.0,-14.27,-7.07,0.2300364930082021,1.94,1.08,
20100131,4590.0,-11.97,-2.34,0.3356726670200393,5.5,5.57,
20100201,2280.0,-5.5,-2.88,0.4176710679805393,6.49,7.47,
20100202,790.0,-8.49,0.4,0.4444367203031351,5.59,2.86,
20100203,1510.0,-12.31,-3.99,0.3121192359319258,4.94,3.0,
20100204,5290.0,-15.19,-9.35,0.2188850109294249,7.8,0.59,
20100205,8780.0,-21.71,-13.92,0.1336602264882031,5.55,0.06,
