DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20170101,2140.0,-6.31,-1.6,0.4437662332980593,3.77,0.79,
20170102,1920.0,-4.31,-0.91,0.4918239502805472,5.28,0.35,
20170103,2040.0,-6.4,-1.92,0.4305434186775761,5.09,0.74,
20170104,3570.0,-7.85,-4.6,0.3607914382394442,5.46,2.64,
20170105,3150.0,-5.21,-1.74,0.4344730938368294,3.29,1.52,
20170106,3290.0,-16.62,-5.74,0.2496158552121112,3.81,2.96,
20170107,3610.0,-18.63,-16.2,0.1520923919873869,6.88,12.16,
20170108,3440.0,-16.2,-11.61,0.1998219277158966,4.87,2.39,
20170109,2700.0,-13.42,-9.15,0.2257737923532448,2.8,0.27,
20170110,2480.0,-13.77,-7.22,0.2446362065365088,1.03,0.13,
20170111,2360.0,-13.7,-7.84,0.2395513493955001,1.92,0.2199999999999999,
20170112,2460.0,-11.45,-2.42,0.3666891420218288,4.94,6.719999999999999,
20170113,2640.0,-12.99,-8.06,0.2573577578000205,2.27,0.54,
20170114,3090.0,-8.2,-2.75,0.3938489245297296,6.95,0.24,
20170115,2340.0,-4.99,-2.78,0.4334877060882171,5.47,8.56,
20170116,3290.0,-8.13,-2.47,0.3738216633959939,1.88,0.35,
20170117,4360.0,-14.43,-5.06,0.2891284734458701,2.37,0.12,
20170118,4530.0,-15.13,-5.0,0.2510262246962379,1.8,0.08,
20170119,4099.999999999999,-14.24,-9.84,0.2259576541283658,3.4,0.06,
20170120,3700.0,-10.7,-5.96,0.3050812405409165,5.3,0.5,
20170121,3260.0,-9.84,-0.72,0.401754368643399,5.35,0.58,
20170122,5040.0,-14.27,-4.94,0.286618783359416,5.47,0.15,
20170123,4070.000000000001,-5.59,-1.85,0.4311961682814625,5.86,0.2199999999999999,
20170124,2980.0,-7.93,-4.82,0.3558034384049454,5.51,0.37,
20170125,3900.0,-15.03,-4.94,0.3034036911050041,6.74,4.92,
20170126,7460.0,-25.24,-15.26,0.1146144260355262,4.27,0.13,
20170127,5120.0,-15.81,-9.14,0.2130552018189183,3.27,0.63,
20170128,4590.0,-12.47,-2.57,0.3253553850567624,3.0,0.24,
20170129,7190.0,-23.52,-14.42,0.1186922369948356,2.39,0.15,
20170130,7930.0,-22.74,-14.26,0.1253782711400123,1.38,0.32,
20170131,7840.0,-23.19,-13.74,0.1360978855641308,2.94,0.04,
20170201,5090.0,-16.83,-9.85,0.2080466566932535,4.34,0.1,
20170202,5700.0,-18.31,-4.2,0.2663753720264837,3.06,0.1,
20170203,6270.0,-19.26,-8.76,0.2003170258553867,3.55,2.48,
20170204,4980.0,-10.51,-4.68,0.3230731918870907,4.08,7.57,
20170205,6690.0,-14.5,-8.67,0.223577819671323,2.38,0.17,
20170206,8670.0,-17.54,-10.06,0.1925251935273729,4.61,0.05,
20170207,9360.0,-26.22,-16.47,0.1111496246587671,3.93,0.0,
20170208,9640.0,-30.2,-15.74,0.0831054385776697,2.48,0.01,
20170209,8320.0,-26.15,-10.56,0.1532594145631427,2.5,0.13,
20170210,7170.0,-15.13,-4.41,0.2680837347128138,2.02,0.2199999999999999,
20170211,7690.0,-10.18,-2.5,0.343066617663483,3.21,0.14,
20170212,7340.0,-8.76,-3.31,0.3516936347956135,3.46,0.63,
20170213,8180.0,-11.95,-6.3,0.2642535402239127,2.92,0.61,
20170214,7200.0,-10.81,-0.09,0.3647138036095138,7.39,3.07,
20170215,9040.0,-8.46,-1.13,0.4088646295214035,7.38,0.33,
20170216,11040.0,-16.23,-4.6,0.2436509541435556,2.55,0.0,
20170217,8920.0,-16.66,-3.9,0.3067670276001593,5.47,0.58,
20170218,7500.0,-3.96,0.12,0.5021947287904737,4.63,0.4499999999999999,
20170219,6150.0,-3.83,0.48,0.5154302164369737,4.98,0.14,
20170220,5630.0,-6.73,-0.62,0.4471276555899594,6.09,0.2,
20170221,7570.0,-4.69,0.31,0.5033172868073125,7.1,1.81,
20170222,7530.0,-2.45,0.44,0.5816511507757731,4.88,2.3,
20170223,2280.0,-3.49,0.51,0.5480593128299854,5.16,3.24,
20170224,7160.0,-2.25,0.74,0.5786779295052928,6.17,0.77,
20170225,8460.0,-6.54,0.44,0.4823642421709418,5.53,0.31,
20170226,10230.0,-6.47,-1.62,0.4057596147884389,6.0,0.1099999999999999,
20170227,9820.0,-4.27,0.47,0.5317197606951437,5.56,1.25,
20170228,9010.0,-2.39,0.86,0.566087262820545,2.7,0.38,
20170301,10070.0,-1.83,0.87,0.5586497479828734,4.91,0.01,
20170302,8150.0,-0.56,0.24,0.5932462595191463,4.69,0.48,
20170303,9760.0,-3.3,0.7,0.5723519698608277,2.75,0.13,
20170304,12300.0,-3.49,0.8,0.5293651362920465,2.53,0.1099999999999999,
20170305,11070.0,-0.98,1.51,0.5799505170005947,5.9,0.0,
20170306,12270.0,-0.98,1.33,0.5954157923496313,5.05,0.01,
20170307,12600.0,-2.58,0.98,0.5529249238871019,4.09,0.0,
20170308,11930.0,-5.47,0.98,0.5018210357571917,2.52,0.0,
20170309,13830.0,-5.1,1.14,0.4841707989119593,3.89,0.0,
20170310,13910.0,-3.43,1.62,0.5003287247525081,4.55,0.0,
20170311,13460.0,-3.66,3.02,0.4936618437091652,3.95,0.0,
20170312,14500.0,-6.15,4.75,0.4357900326173497,3.88,0.0,
20170313,4950.0,-5.16,3.55,0.4903580013185938,3.41,0.48,
20170314,14720.0,-2.28,6.9,0.5392373471610833,2.77,0.3,
20170315,10670.0,-2.62,8.23,0.5258505038956838,2.11,0.01,
20170316,5330.0,-0.91,2.93,0.6143653459932471,2.09,3.53,
20170317,5540.0,-1.69,4.41,0.6019665508469253,1.59,0.4099999999999999,
20170318,10830.0,-1.49,6.44,0.5820769978224124,3.88,0.35,
20170319,5350.0,-0.17,3.63,0.6586073075296932,4.01,6.74,
20170320,7500.0,0.51,7.05,0.7061465907189655,0.91,2.86,
20170321,6840.0,-0.61,7.91,0.6430915905568553,1.56,1.16,
20170322,12010.0,-0.93,11.49,0.7188797529386093,1.55,0.01,
20170323,6090.0,-0.88,9.07,0.7375716759672666,2.51,0.97,
20170324,6390.0,-1.75,8.58,0.7339038890266067,3.84,4.8,
20170325,16760.000000000004,-1.49,4.63,0.4848950979144516,3.55,0.2099999999999999,
20170326,12150.0,-2.39,3.79,0.4414265831209646,1.09,0.08,
20170327,11730.0,-1.88,4.9,0.5266297431929259,5.42,3.15,
20170328,12330.0,-1.9,7.67,0.5752964305682134,6.59,1.94,
20170329,17080.0,-2.42,5.27,0.4903580013185938,3.67,1.93,
20170330,10450.0,-5.34,2.37,0.4628826152364675,3.68,1.38,
20170331,13820.0,-5.3,3.69,0.4302173724869015,3.98,3.19,
20170401,4960.0,-3.21,6.42,0.5820769978224124,2.8,0.34,
20170402,13120.0,-2.72,13.08,0.8035813723111416,4.38,0.2099999999999999,
20170403,17180.0,6.12,19.15,1.1303436147077135,4.17,0.74,
20170404,6490.0,2.16,11.32,0.8155535719752931,3.23,0.06,
20170405,9980.0,1.77,12.44,0.8441026423148446,3.34,0.17,
20170406,15040.0,4.34,13.63,0.8753602096135061,3.83,0.1,
20170407,12190.0,3.37,15.1,0.9566896956240118,2.51,0.09,
20170408,12810.0,4.76,12.82,0.9082647197555468,2.93,0.3,
20170409,11880.0,0.14,11.1,0.7281727564225616,3.66,0.04,
20170410,20300.0,-1.31,13.3,0.6081380088584938,1.61,0.0,
20170411,21000.0,0.62,15.62,0.841739509209634,4.42,0.0,
20170412,13000.0,0.01,8.67,0.6901390459484451,4.41,2.32,
20170413,16440.000000000004,-0.45,11.84,0.6991033827118848,4.3,0.79,
20170414,8990.0,0.2,10.19,0.7839720435947725,2.95,7.960000000000001,
20170415,16020.0,0.29,8.49,0.6050453220287282,2.38,0.77,
20170416,14480.0,0.51,13.73,0.8305941284176106,5.41,6.82,
20170417,19150.0,0.26,7.48,0.6041642555166838,3.19,0.4399999999999999,
20170418,12500.0,-0.52,4.83,0.5278005186846187,3.7,2.32,
20170419,6570.0,-5.57,1.02,0.4863465756105933,6.3,7.49,
20170420,19400.0,-6.8,4.74,0.4341444108634332,2.59,0.0,
20170421,22400.0,-5.03,8.21,0.5184984809227259,2.16,0.14,
20170422,12540.0,-1.38,11.35,0.7412556374983472,4.2,1.6399999999999997,
20170423,19120.0,-1.16,10.21,0.6329281168651989,2.3,0.36,
20170424,19050.0,-0.71,7.83,0.578254282920126,2.98,0.07,
20170425,17640.0,-2.95,10.24,0.6002134801141586,2.7,0.02,
20170426,23460.0,2.42,15.3,0.7577663300977576,5.71,0.0,
20170427,21650.0,3.15,18.19,0.8644267007582993,4.93,0.0,
20170428,24070.0,5.58,20.91,1.0705788877960132,3.22,0.0,
